student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,guardian,travel_time,study_time,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade
1,GP,F,18,Urban,Greater than 3,Apart,higher education,higher education,at_home,teacher,course,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11
2,GP,F,17,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,course,father,<15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11
3,GP,F,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,<15 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12
4,GP,F,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
5,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,home,father,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13
6,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,services,other,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13
7,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13
8,GP,F,17,Urban,Greater than 3,Apart,higher education,higher education,other,teacher,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13
9,GP,M,15,Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17
10,GP,M,15,Urban,Greater than 3,Living together,secondary education,higher education,other,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13
11,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14
12,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13
13,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,course,father,<15 min.,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12
14,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13
15,GP,M,15,Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,home,other,<15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15
16,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,health,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17
17,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14
18,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,reputation,mother,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14
19,GP,M,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,course,mother,<15 min.,<2 hours,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
20,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,home,father,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12
21,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,reputation,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14
22,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,health,other,father,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12
23,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14
24,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
25,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10
26,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,mother,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12
27,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12
28,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,other,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11
